year,county,COUNT
2012,39107,9
2012,39109,18
2012,39111,6
2012,39113,108
2012,39115,6
2012,39117,12
2012,39119,9
2012,39121,1
2012,39123,6
2012,39125,6
2012,39127,8
2012,39129,13
2012,39131,12
2012,39133,37
2012,39135,9
2012,39137,3
2012,39139,30
2012,39141,23
2012,39143,15
2012,39145,21
2012,39147,11
2012,39149,8
2012,39151,65
2012,39153,88
2012,39155,42
2012,39157,17
2012,39159,6
2012,39161,2
2012,39163,7
2012,39165,37
2012,39167,8
2012,39169,24
2012,39171,14
2012,39173,13
2012,39175,5
2013,39001,6
2013,39003,19
2013,39005,5
2013,39007,21
2013,39009,17
2013,39011,10
2013,39013,19
2013,39015,19
2013,39017,50
2013,39019,6
2013,39021,7
2013,39023,23
2013,39025,53
2013,39027,8
2013,39029,28
2013,39031,4
2013,39033,3
2013,39035,140
2013,39037,7
2013,39039,14
2013,39041,20
2013,39043,14
2013,39045,21
2013,39047,7
2013,39049,214
2013,39051,10
2013,39053,9
2013,39055,15
2013,39057,25
2013,39059,10
2013,39061,145
2013,39063,5
2013,39065,2
2013,39067,5
2013,39069,4
2013,39071,10
2013,39073,11
2013,39075,4
2013,39077,2
2013,39079,11
2013,39081,11
2013,39083,6
2013,39085,28
2013,39087,12
2013,39089,19
2013,39091,8
2013,39093,34
2013,39095,80
2013,39097,12
2013,39099,37
2013,39101,12
2013,39103,26
2013,39105,6
2013,39107,8
2013,39109,8
2013,39111,6
2013,39113,98
2013,39115,2
2013,39117,10
2013,39119,23
2013,39121,1
2013,39123,8
2013,39125,3
2013,39127,10
2013,39129,12
2013,39131,10
2013,39133,41
2013,39135,8
2013,39137,4
2013,39139,28
2013,39141,41
2013,39143,17
2013,39145,25
2013,39147,9
2013,39149,8
2013,39151,59
2013,39153,81
2013,39155,39
2013,39157,16
2013,39159,10
2013,39161,3
2013,39163,4
2013,39165,32
2013,39167,18
2013,39169,24
2013,39171,7
2013,39173,25
2013,39175,3
2014,39001,7
2014,39003,13
2014,39005,19
2014,39007,18
2014,39009,8
2014,39011,5
2014,39013,18
2014,39015,5
2014,39017,65
2014,39019,2
2014,39021,4
2014,39023,29
2014,39025,31
2014,39027,9
2014,39029,16
2014,39031,1
2014,39033,6
2014,39035,141
2014,39037,9
2014,39039,3
2014,39041,24
2014,39043,10
2014,39045,15
2014,39047,10
2014,39049,239
2014,39051,7
2014,39053,7
2014,39055,20
2014,39057,33
2014,39059,11
2014,39061,140
2014,39063,6
2014,39065,4
2014,39067,4
2014,39069,6
2014,39071,12
2014,39073,4
2014,39075,2
2014,39077,8
2014,39079,12
2014,39081,10
2014,39083,13
2014,39085,36
2014,39087,12
2014,39089,19
2014,39091,15
2014,39093,32
2014,39095,91
2014,39097,9
2014,39099,43
2014,39101,15
2014,39103,32
2014,39105,7
2014,39107,3
2014,39109,11
2014,39111,2
2014,39113,92
2014,39115,2
2014,39117,8
2014,39119,28
2014,39121,4
2014,39123,9
2014,39125,1
2014,39127,12
2014,39129,9
2014,39131,8
2014,39133,17
2014,39135,14
2014,39137,5
2014,39139,25
2014,39141,33
2014,39143,10
2014,39145,17
2014,39147,16
2014,39149,8
2014,39151,53
2014,39153,94
2014,39155,28
2014,39157,27
2014,39159,9
2014,39161,5
2014,39163,5
2014,39165,47
2014,39167,9
2014,39169,23
2014,39171,8
2014,39173,18
2014,39175,1
2015,39001,11
2015,39003,21
2015,39005,13
2015,39007,22
2015,39009,17
2015,39011,7
2015,39013,20
2015,39015,9
2015,39017,76
2015,39019,5
2015,39021,7
2015,39023,21
2015,39025,55
2015,39027,14
2015,39029,23
2015,39031,5
2015,39033,3
2015,39035,176
2015,39037,8
2015,39039,4
2015,39041,35
2015,39043,9
2015,39045,25
2015,39047,4
2015,39049,249
2015,39051,12
2015,39053,13
2015,39055,17
2015,39057,33
2015,39059,10
2015,39061,178
2015,39063,13
2015,39065,3
2015,39067,6
2015,39069,2
2015,39071,11
2015,39073,5
2015,39075,3
2015,39077,12
2015,39079,17
2015,39081,12
2015,39083,9
2015,39085,20
2015,39087,8
2015,39089,24
2015,39091,12
2015,39093,42
2015,39095,93
2015,39097,9
2015,39099,30
2015,39101,14
2015,39103,24
2015,39105,2
2015,39107,8
2015,39109,16
2015,39111,3
2015,39113,111
2015,39115,5
2015,39117,11
2015,39119,16
2015,39121,1
2015,39123,3
2015,39125,6
2015,39127,7
2015,39129,13
2015,39131,7
2015,39133,38
2015,39135,8
2015,39137,1
2015,39139,26
2015,39141,31
2015,39143,9
2015,39145,21
2015,39147,7
2015,39149,7
2015,39151,53
2015,39153,67
2015,39155,35
2015,39157,25
2015,39159,12
2015,39161,4
2015,39163,8
2015,39165,44
2015,39167,8
2015,39169,16
2015,39171,10
2015,39173,24
2015,39175,6
2016,39001,7
2016,39003,17
2016,39005,14
2016,39007,23
2016,39009,7
2016,39011,6
2016,39013,11
2016,39015,10
2016,39017,76
2016,39019,4
2016,39021,3
2016,39023,32
2016,39025,43
2016,39027,13
2016,39029,16
2016,39031,6
2016,39033,4
2016,39035,181
2016,39037,17
2016,39039,6
2016,39041,23
2016,39043,15
2016,39045,29
2016,39047,5
2016,39049,274
2016,39051,8
2016,39053,14
2016,39055,15
2016,39057,28
2016,39059,12
2016,39061,206
2016,39063,17
2016,39065,5
2016,39069,3
2016,39071,14
2016,39073,8
2016,39075,4
2016,39077,10
2016,39079,12
2016,39081,6
2016,39083,13
2016,39085,25
2016,39087,11
2016,39089,29
2016,39091,9
2016,39093,30
2016,39095,64
2016,39097,14
2016,39099,53
2016,39101,13
2016,39103,18
2016,39105,8
2016,39107,7
2016,39109,16
2016,39113,121
2016,39115,4
2016,39117,12
2016,39119,17
2016,39121,3
2016,39123,9
2016,39125,6
2016,39127,10
2016,39129,14
2016,39131,4
2016,39133,35
2016,39135,10
2016,39137,1
2016,39139,29
2016,39141,35
2016,39143,14
2016,39145,19
2016,39147,12
2016,39149,5
2016,39151,51
2016,39153,80
2016,39155,29
2016,39157,26
2016,39159,7
2016,39161,3
2016,39163,4
2016,39165,37
2016,39167,8
2016,39169,21
2016,39171,8
2016,39173,30
2016,39175,5
2017,39001,11
2017,39003,17
2017,39005,13
2017,39007,23
2017,39009,11
2017,39011,7
2017,39013,6
2017,39015,13
2017,39017,64
2017,39019,3
2017,39021,6
2017,39023,32
2017,39025,38
2017,39027,8
2017,39029,16
2017,39031,2
2017,39033,8
2017,39035,155
2017,39037,6
2017,39039,6
2017,39041,29
2017,39043,12
2017,39045,22
2017,39047,6
2017,39049,292
2017,39051,9
2017,39053,7
2017,39055,15
2017,39057,36
2017,39059,7
2017,39061,199
2017,39063,11
2017,39065,5
2017,39067,3
2017,39069,6
2017,39071,5
2017,39073,7
2017,39075,9
2017,39077,7
2017,39079,4
2017,39081,9
2017,39083,5
2017,39085,36
2017,39087,10
2017,39089,32
2017,39091,3
2017,39093,37
2017,39095,82
2017,39097,9
2017,39099,44
2017,39101,13
2017,39103,23
2017,39105,9
2017,39107,2
2017,39109,19
2017,39111,3
2017,39113,114
2017,39115,4
2017,39117,5
2017,39119,11
2017,39121,1
2017,39123,7
2017,39125,5
2017,39127,14
2017,39129,10
2017,39131,9
2017,39133,25
2017,39135,7
2017,39139,31
2017,39141,27
2017,39143,8
2017,39145,19
2017,39147,6
2017,39149,6
2017,39151,63
2017,39153,80
2017,39155,29
2017,39157,17
2017,39159,7
2017,39161,4
2017,39163,3
2017,39165,28
2017,39167,10
2017,39169,27
2017,39171,6
2017,39173,16
2017,39175,1
