SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
50,39,3,Ohio,Allen County,3,2000,7,6780,3540,3240,2939,2748,540,423,9,8,32,38,0,0,20,23,3465,3192,2871,2707,535,418,9,7,31,38,0,0,19,22,75,48,68,41,5,5,0,1,1,0,0,0,1,1
50,39,3,Ohio,Allen County,4,2001,4,8338,4590,3748,3865,3077,610,553,10,6,31,33,1,1,73,78,4506,3673,3796,3014,601,544,7,6,30,33,1,1,71,75,84,75,69,63,9,9,3,0,1,0,0,0,2,3
50,39,3,Ohio,Allen County,4,2001,5,7858,4222,3636,3552,3090,595,457,13,3,15,23,2,1,45,62,4105,3561,3447,3027,587,450,12,3,13,22,1,0,45,59,117,75,105,63,8,7,1,0,2,1,1,1,0,3
50,39,3,Ohio,Allen County,4,2001,7,6672,3488,3184,2885,2673,538,437,8,8,34,38,0,0,23,28,3405,3131,2811,2628,531,431,8,7,33,38,0,0,22,27,83,53,74,45,7,6,0,1,1,0,0,0,1,1
50,39,3,Ohio,Allen County,5,2002,4,8258,4549,3709,3827,3060,596,541,12,3,33,28,1,0,80,77,4465,3640,3761,3003,585,533,9,3,33,28,1,0,76,73,84,69,66,57,11,8,3,0,0,0,0,0,4,4
50,39,3,Ohio,Allen County,5,2002,5,7781,4169,3612,3526,3073,564,462,10,2,22,13,1,1,46,61,4043,3533,3415,3006,552,454,9,2,21,13,1,0,45,58,126,79,111,67,12,8,1,0,1,0,0,1,1,3
50,39,3,Ohio,Allen County,5,2002,7,6429,3341,3088,2789,2594,493,419,9,10,31,33,0,0,19,32,3263,3040,2720,2556,486,412,9,8,30,33,0,0,18,31,78,48,69,38,7,7,0,2,1,0,0,0,1,1
50,39,3,Ohio,Allen County,6,2003,4,8313,4578,3735,3840,3098,608,521,10,6,35,23,0,0,85,87,4481,3672,3759,3046,599,514,7,6,35,23,0,0,81,83,97,63,81,52,9,7,3,0,0,0,0,0,4,4
50,39,3,Ohio,Allen County,6,2003,5,7682,4130,3552,3478,3000,560,460,14,2,22,22,1,2,55,66,4004,3456,3367,2918,548,453,13,2,21,20,1,1,54,62,126,96,111,82,12,7,1,0,1,2,0,1,1,4
50,39,3,Ohio,Allen County,6,2003,7,6140,3187,2953,2663,2484,465,387,11,10,29,36,1,0,18,36,3106,2890,2591,2433,458,380,11,7,28,36,1,0,17,34,81,63,72,51,7,7,0,3,1,0,0,0,1,2
50,39,3,Ohio,Allen County,7,2004,4,8307,4569,3738,3807,3109,629,510,13,4,37,24,3,1,80,90,4453,3661,3715,3045,623,504,7,4,35,23,2,0,71,85,116,77,92,64,6,6,6,0,2,1,1,1,9,5
50,39,3,Ohio,Allen County,7,2004,5,7617,4172,3445,3518,2876,550,466,11,6,22,19,4,2,67,76,4052,3348,3419,2792,537,461,8,5,22,19,3,1,63,70,120,97,99,84,13,5,3,1,0,0,1,1,4,6
50,39,3,Ohio,Allen County,7,2004,7,5990,3087,2903,2583,2459,450,352,8,8,23,36,1,0,22,48,3015,2829,2522,2401,443,345,8,5,21,36,1,0,20,42,72,74,61,58,7,7,0,3,2,0,0,0,2,6
50,39,3,Ohio,Allen County,8,2005,4,8473,4685,3788,3879,3136,659,529,14,9,35,22,2,1,96,91,4563,3715,3782,3075,651,524,8,9,34,22,2,0,86,85,122,73,97,61,8,5,6,0,1,0,0,1,10,6
50,39,3,Ohio,Allen County,8,2005,5,7335,4071,3264,3416,2719,542,435,14,6,26,22,2,2,71,80,3935,3181,3304,2651,528,430,9,5,26,21,2,1,66,73,136,83,112,68,14,5,5,1,0,1,0,1,5,7
50,39,3,Ohio,Allen County,8,2005,7,5754,2958,2796,2439,2357,446,356,10,7,29,27,1,0,33,49,2873,2731,2366,2306,440,349,8,5,27,27,1,0,31,44,85,65,73,51,6,7,2,2,2,0,0,0,2,5
50,39,3,Ohio,Allen County,9,2006,4,8523,4687,3836,3891,3163,649,527,16,14,28,24,3,1,100,107,4554,3760,3785,3102,640,522,10,14,27,23,2,0,90,99,133,76,106,61,9,5,6,0,1,1,1,1,10,8
50,39,3,Ohio,Allen County,9,2006,5,7246,4039,3207,3391,2668,529,429,14,6,25,19,2,2,78,83,3903,3119,3279,2592,516,425,9,5,25,19,2,1,72,77,136,88,112,76,13,4,5,1,0,0,0,1,6,6
50,39,3,Ohio,Allen County,9,2006,7,5801,2987,2814,2456,2354,463,369,10,10,27,28,1,0,30,53,2888,2738,2370,2293,456,363,8,7,25,28,1,0,28,47,99,76,86,61,7,6,2,3,2,0,0,0,2,6
50,39,3,Ohio,Allen County,10,2007,4,8535,4742,3793,3922,3111,662,529,15,6,32,27,3,1,108,119,4593,3709,3803,3044,653,525,8,6,31,26,2,0,96,108,149,84,119,67,9,4,7,0,1,1,1,1,12,11
50,39,3,Ohio,Allen County,10,2007,5,7352,4134,3218,3515,2682,502,421,12,5,20,16,2,2,83,92,3995,3131,3403,2609,486,416,7,4,20,15,2,1,77,86,139,87,112,73,16,5,5,1,0,1,0,1,6,6
50,39,3,Ohio,Allen County,10,2007,7,5922,3037,2885,2500,2416,465,381,9,7,29,21,1,0,33,60,2937,2799,2412,2347,459,373,7,4,27,21,1,0,31,54,100,86,88,69,6,8,2,3,2,0,0,0,2,6
50,39,3,Ohio,Allen County,11,2008,4,8508,4719,3789,3888,3085,647,526,17,8,26,25,3,1,138,144,4571,3701,3772,3016,637,522,10,8,25,23,2,0,125,132,148,88,116,69,10,4,7,0,1,2,1,1,13,12
50,39,3,Ohio,Allen County,11,2008,5,7502,4222,3280,3584,2752,513,405,12,5,26,18,2,2,85,98,4054,3191,3447,2677,494,400,7,4,26,17,2,1,78,92,168,89,137,75,19,5,5,1,0,1,0,1,7,6
50,39,3,Ohio,Allen County,11,2008,7,6049,3029,3020,2502,2528,458,391,9,6,22,33,1,0,37,62,2920,2933,2407,2456,450,383,7,5,20,33,1,0,35,56,109,87,95,72,8,8,2,1,2,0,0,0,2,6
50,39,3,Ohio,Allen County,12,2009,4,8394,4719,3675,3886,2983,650,516,15,7,28,26,3,1,137,142,4569,3589,3768,2915,640,512,8,7,27,25,2,0,124,130,150,86,118,68,10,4,7,0,1,1,1,1,13,12
50,39,3,Ohio,Allen County,12,2009,5,7471,4226,3245,3577,2735,524,391,14,5,23,15,2,2,86,97,4063,3158,3445,2662,505,386,9,4,23,14,2,1,79,91,163,87,132,73,19,5,5,1,0,1,0,1,7,6
50,39,3,Ohio,Allen County,12,2009,7,6160,3095,3065,2548,2561,477,406,9,8,19,26,1,0,41,64,2980,2978,2447,2491,469,398,7,5,17,26,1,0,39,58,115,87,101,70,8,8,2,3,2,0,0,0,2,6
50,39,5,Ohio,Ashland County,3,2000,4,4431,2281,2150,2162,2083,86,26,4,2,12,22,1,0,16,17,2253,2128,2136,2062,86,25,4,2,12,22,1,0,14,17,28,22,26,21,0,1,0,0,0,0,0,0,2,0
50,39,5,Ohio,Ashland County,3,2000,5,3838,1938,1900,1867,1847,27,22,3,1,20,22,0,0,21,8,1907,1881,1839,1829,25,21,3,1,20,22,0,0,20,8,31,19,28,18,2,1,0,0,0,0,0,0,1,0
50,39,5,Ohio,Ashland County,3,2000,7,3230,1613,1617,1580,1571,11,14,3,1,7,20,1,1,11,10,1598,1602,1566,1557,11,14,2,1,7,20,1,1,11,9,15,15,14,14,0,0,1,0,0,0,0,0,0,1
50,39,5,Ohio,Ashland County,4,2001,4,4322,2233,2089,2116,2025,80,26,5,2,15,20,1,0,16,16,2212,2066,2097,2003,80,25,5,2,15,20,1,0,14,16,21,23,19,22,0,1,0,0,0,0,0,0,2,0
50,39,5,Ohio,Ashland County,4,2001,5,3897,1949,1948,1867,1892,36,23,3,1,21,23,0,0,22,9,1924,1924,1845,1869,34,22,3,1,21,23,0,0,21,9,25,24,22,23,2,1,0,0,0,0,0,0,1,0
50,39,5,Ohio,Ashland County,4,2001,7,3197,1588,1609,1550,1565,12,14,3,1,10,16,1,1,12,12,1574,1597,1537,1554,12,14,2,1,10,16,1,1,12,11,14,12,13,11,0,0,1,0,0,0,0,0,0,1
50,39,5,Ohio,Ashland County,5,2002,4,4313,2233,2080,2129,2022,67,20,5,2,12,17,2,0,18,19,2211,2054,2109,1998,67,19,5,2,12,17,2,0,16,18,22,26,20,24,0,1,0,0,0,0,0,0,2,1
50,39,5,Ohio,Ashland County,5,2002,5,3951,1964,1987,1888,1937,34,24,2,1,19,18,1,0,20,7,1935,1965,1860,1916,33,23,2,1,19,18,1,0,20,7,29,22,28,21,1,1,0,0,0,0,0,0,0,0
50,39,5,Ohio,Ashland County,5,2002,7,3135,1522,1613,1481,1565,14,10,3,1,11,24,1,1,12,12,1506,1602,1466,1555,14,10,2,1,11,24,1,1,12,11,16,11,15,10,0,0,1,0,0,0,0,0,0,1
50,39,5,Ohio,Ashland County,6,2003,4,4270,2199,2071,2098,2011,63,23,5,2,15,16,1,0,17,19,2180,2047,2080,1989,63,22,5,2,15,16,1,0,16,18,19,24,18,22,0,1,0,0,0,0,0,0,1,1
50,39,5,Ohio,Ashland County,6,2003,5,3913,1934,1979,1860,1926,28,26,3,1,19,18,3,0,21,8,1908,1958,1836,1907,27,25,3,1,19,18,3,0,20,7,26,21,24,19,1,1,0,0,0,0,0,0,1,1
50,39,5,Ohio,Ashland County,6,2003,7,3021,1455,1566,1415,1515,14,13,3,1,8,21,1,2,14,14,1440,1551,1401,1502,14,13,2,1,8,21,1,2,14,12,15,15,14,13,0,0,1,0,0,0,0,0,0,2
50,39,5,Ohio,Ashland County,7,2004,4,4272,2179,2093,2084,2032,63,25,4,2,8,12,4,0,16,22,2162,2072,2068,2012,63,25,3,2,8,12,4,0,16,21,17,21,16,20,0,0,1,0,0,0,0,0,0,1
50,39,5,Ohio,Ashland County,7,2004,5,3857,1900,1957,1819,1898,29,25,2,2,20,19,2,1,28,12,1869,1940,1793,1881,28,25,2,2,20,19,2,1,24,12,31,17,26,17,1,0,0,0,0,0,0,0,4,0
50,39,5,Ohio,Ashland County,7,2004,7,2910,1419,1491,1383,1449,14,8,0,1,8,20,3,1,11,12,1407,1475,1371,1435,14,8,0,1,8,20,3,1,11,10,12,16,12,14,0,0,0,0,0,0,0,0,0,2
50,39,5,Ohio,Ashland County,8,2005,4,4203,2116,2087,2021,2025,56,24,5,2,9,10,4,0,21,26,2100,2069,2007,2008,56,24,4,2,9,10,4,0,20,25,16,18,14,17,0,0,1,0,0,0,0,0,1,1
50,39,5,Ohio,Ashland County,8,2005,5,3799,1838,1961,1762,1896,26,25,2,1,18,21,2,1,28,17,1812,1947,1740,1883,25,25,2,1,18,21,2,1,25,16,26,14,22,13,1,0,0,0,0,0,0,0,3,1
50,39,5,Ohio,Ashland County,8,2005,7,2771,1371,1400,1334,1359,11,10,0,0,10,17,2,1,14,13,1362,1383,1325,1343,11,10,0,0,10,17,2,1,14,12,9,17,9,16,0,0,0,0,0,0,0,0,0,1
50,39,5,Ohio,Ashland County,9,2006,4,4230,2148,2082,2058,2018,51,25,5,2,7,9,4,0,23,28,2127,2063,2039,2001,51,25,4,2,7,9,4,0,22,26,21,19,19,17,0,0,1,0,0,0,0,0,1,2
50,39,5,Ohio,Ashland County,9,2006,5,3719,1813,1906,1733,1846,33,22,2,1,17,19,3,1,25,17,1786,1892,1710,1833,32,22,2,1,17,19,3,1,22,16,27,14,23,13,1,0,0,0,0,0,0,0,3,1
50,39,5,Ohio,Ashland County,9,2006,7,2778,1387,1391,1343,1348,13,11,0,0,15,16,3,1,13,15,1377,1373,1333,1332,13,11,0,0,15,16,3,1,13,13,10,18,10,16,0,0,0,0,0,0,0,0,0,2
50,39,5,Ohio,Ashland County,10,2007,4,4212,2117,2095,2027,2033,46,27,6,2,7,5,5,0,26,28,2097,2066,2009,2006,46,27,5,2,7,5,5,0,25,26,20,29,18,27,0,0,1,0,0,0,0,0,1,2
50,39,5,Ohio,Ashland County,10,2007,5,3689,1790,1899,1713,1841,27,24,1,1,19,17,4,1,26,15,1770,1883,1696,1826,27,24,1,1,19,17,4,1,23,14,20,16,17,15,0,0,0,0,0,0,0,0,3,1
