SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,39,161,Ohio,Van Wert County,10,2017,7,1518,754,764,728,752,15,4,1,0,1,3,1,0,8,5,735,756,18,7,4,4,4,3,3,0,709,735,685,724,13,4,1,0,1,2,1,0,8,5,692,728,16,7,4,4,4,2,3,0,45,29,43,28,2,0,0,0,0,1,0,0,0,0,43,28,2,0,0,0,0,1,0,0
50,39,161,Ohio,Van Wert County,11,2018,4,1781,907,874,859,837,22,13,2,1,3,3,0,0,21,20,880,855,39,28,7,5,3,7,0,0,861,827,822,792,21,13,1,0,3,3,0,0,14,19,836,809,34,28,3,3,3,7,0,0,46,47,37,45,1,0,1,1,0,0,0,0,7,1,44,46,5,0,4,2,0,0,0,0
50,39,161,Ohio,Van Wert County,11,2018,5,1617,839,778,792,743,18,10,1,3,3,5,0,0,25,17,816,759,34,26,5,6,8,5,1,0,795,741,757,711,14,9,0,1,3,5,0,0,21,15,778,725,28,23,3,4,6,5,1,0,44,37,35,32,4,1,1,2,0,0,0,0,4,2,38,34,6,3,2,2,2,0,0,0
50,39,161,Ohio,Van Wert County,11,2018,7,1499,758,741,724,728,17,3,4,0,1,4,0,0,12,6,735,734,25,8,7,2,4,4,0,0,714,717,685,705,15,3,1,0,1,3,0,0,12,6,696,711,23,8,4,2,4,3,0,0,44,24,39,23,2,0,3,0,0,1,0,0,0,0,39,23,2,0,3,0,0,1,0,0
50,39,163,Ohio,Vinton County,3,2010,4,1002,516,486,507,479,3,2,2,2,0,1,0,0,4,2,510,481,4,3,4,2,1,2,1,0,512,485,503,479,3,2,2,1,0,1,0,0,4,2,506,481,4,3,4,1,1,2,1,0,4,1,4,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,3,2010,5,694,372,322,367,313,1,0,1,0,1,2,0,0,2,7,369,319,3,3,1,4,1,3,0,0,368,321,363,312,1,0,1,0,1,2,0,0,2,7,365,318,3,3,1,4,1,3,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,3,2010,7,783,394,389,385,383,3,0,1,1,1,2,0,0,4,3,389,386,4,1,2,3,3,2,0,0,392,388,383,382,3,0,1,1,1,2,0,0,4,3,387,385,4,1,2,3,3,2,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,4,2011,4,985,494,491,486,480,2,3,1,2,0,1,0,0,5,5,491,485,5,6,2,3,1,2,0,0,488,487,480,477,2,3,1,1,0,1,0,0,5,5,485,482,5,6,2,2,1,2,0,0,6,4,6,3,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,4,2011,5,765,413,352,405,342,1,1,2,0,1,3,0,0,4,6,409,347,4,3,2,5,1,3,1,0,411,350,403,340,1,1,2,0,1,3,0,0,4,6,407,345,4,3,2,5,1,3,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,4,2011,7,794,386,408,379,404,1,0,1,1,2,2,0,0,3,1,382,405,3,0,2,1,2,3,0,0,385,407,378,403,1,0,1,1,2,2,0,0,3,1,381,404,3,0,2,1,2,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,5,2012,4,903,444,459,438,452,1,1,0,2,0,0,0,0,5,4,443,455,5,4,1,2,0,2,0,0,437,456,431,450,1,1,0,1,0,0,0,0,5,4,436,453,5,4,1,1,0,2,0,0,7,3,7,2,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,5,2012,5,777,420,357,410,347,3,2,3,0,1,4,0,0,3,4,413,351,5,3,3,3,2,4,0,0,417,355,407,345,3,2,3,0,1,4,0,0,3,4,410,349,5,3,3,3,2,4,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,5,2012,7,782,359,423,350,415,1,0,2,1,3,4,0,0,3,3,353,418,1,2,5,2,3,4,0,0,357,420,348,412,1,0,2,1,3,4,0,0,3,3,351,415,1,2,5,2,3,4,0,0,2,3,2,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,6,2013,4,873,440,433,429,426,2,0,1,1,1,0,0,0,7,6,436,431,5,5,5,3,1,1,0,0,436,430,425,424,2,0,1,0,1,0,0,0,7,6,432,429,5,5,5,2,1,1,0,0,4,3,4,2,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,6,2013,5,818,435,383,428,370,2,3,2,2,0,4,0,0,3,4,431,373,3,3,4,5,0,6,0,0,429,381,422,369,2,3,2,1,0,4,0,0,3,4,425,372,3,3,4,4,0,6,0,0,6,2,6,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0
50,39,163,Ohio,Vinton County,6,2013,7,776,367,409,357,399,1,2,3,0,2,5,0,0,4,3,361,402,3,3,4,2,3,5,0,0,363,405,353,395,1,2,3,0,2,5,0,0,4,3,357,398,3,3,4,2,3,5,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
50,39,163,Ohio,Vinton County,7,2014,4,839,418,421,408,414,2,0,2,1,1,0,0,0,5,6,413,418,6,4,3,4,1,0,0,1,415,418,405,412,2,0,2,0,1,0,0,0,5,6,410,416,6,4,3,3,1,0,0,1,3,3,3,2,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0
