year,county,COUNT
2004,39131,185
2004,39133,1309
2004,39135,292
2004,39137,153
2004,39139,1106
2004,39141,578
2004,39143,460
2004,39145,546
2004,39147,426
2004,39149,379
2004,39151,3011
2004,39153,4030
2004,39155,1370
2004,39157,696
2004,39159,239
2004,39161,145
2004,39163,100
2004,39165,1135
2004,39167,437
2004,39169,736
2004,39171,282
2004,39173,1133
2004,39175,202
2005,39001,189
2005,39003,927
2005,39005,347
2005,39007,594
2005,39009,452
2005,39011,229
2005,39013,417
2005,39015,242
2005,39017,2383
2005,39019,138
2005,39021,207
2005,39023,831
2005,39025,1450
2005,39027,375
2005,39029,587
2005,39031,216
2005,39033,212
2005,39035,6778
2005,39037,294
2005,39039,316
2005,39041,861
2005,39043,532
2005,39045,761
2005,39047,187
2005,39049,8154
2005,39051,245
2005,39053,253
2005,39055,513
2005,39057,1154
2005,39059,339
2005,39061,7423
2005,39063,615
2005,39065,166
2005,39067,77
2005,39069,134
2005,39071,281
2005,39073,190
2005,39075,288
2005,39077,333
2005,39079,315
2005,39081,422
2005,39083,445
2005,39085,1324
2005,39087,344
2005,39089,1119
2005,39091,352
2005,39093,1660
2005,39095,3666
2005,39097,210
2005,39099,1787
2005,39101,438
2005,39103,815
2005,39105,138
2005,39107,203
2005,39109,580
2005,39111,60
2005,39113,2988
2005,39115,101
2005,39117,273
2005,39119,736
2005,39121,60
2005,39123,204
2005,39125,103
2005,39127,168
2005,39129,289
2005,39131,143
2005,39133,1278
2005,39135,288
2005,39137,138
2005,39139,1073
2005,39141,529
2005,39143,395
2005,39145,574
2005,39147,349
2005,39149,349
2005,39151,2567
2005,39153,3743
2005,39155,1204
2005,39157,681
2005,39159,241
2005,39161,166
2005,39163,90
2005,39165,1074
2005,39167,416
2005,39169,665
2005,39171,235
2005,39173,1150
2005,39175,137
2006,39001,192
2006,39003,826
2006,39005,320
2006,39007,529
2006,39009,468
2006,39011,195
2006,39013,339
2006,39015,251
2006,39017,2349
2006,39019,115
2006,39021,208
2006,39023,792
2006,39025,1419
2006,39027,295
2006,39029,487
2006,39031,195
2006,39033,217
2006,39035,6305
2006,39037,275
2006,39039,271
2006,39041,723
2006,39043,497
2006,39045,692
2006,39047,195
2006,39049,8019
2006,39051,185
2006,39053,197
2006,39055,458
2006,39057,1053
2006,39059,251
2006,39061,7200
2006,39063,603
2006,39065,145
2006,39067,64
2006,39069,131
2006,39071,257
2006,39073,152
2006,39075,217
2006,39077,284
2006,39079,278
2006,39081,340
2006,39083,383
2006,39085,1269
2006,39087,355
2006,39089,798
2006,39091,290
2006,39093,1472
2006,39095,3649
2006,39097,206
2006,39099,1383
2006,39101,352
2006,39103,778
2006,39105,122
2006,39107,183
2006,39109,582
2006,39111,53
2006,39113,2898
2006,39115,65
2006,39117,206
2006,39119,631
2006,39121,70
2006,39123,152
2006,39125,77
2006,39127,119
2006,39129,298
2006,39131,172
2006,39133,1161
2006,39135,237
2006,39137,108
2006,39139,872
2006,39141,549
2006,39143,364
2006,39145,505
2006,39147,335
2006,39149,263
2006,39151,2318
2006,39153,3484
2006,39155,1095
2006,39157,583
2006,39159,226
2006,39161,112
2006,39163,74
2006,39165,938
2006,39167,366
2006,39169,578
2006,39171,233
2006,39173,916
2006,39175,131
2007,39001,175
2007,39003,848
2007,39005,327
2007,39007,503
2007,39009,416
2007,39011,211
2007,39013,383
2007,39015,228
2007,39017,2022
2007,39019,133
2007,39021,192
2007,39023,778
2007,39025,1291
2007,39027,232
2007,39029,510
2007,39031,211
2007,39033,197
2007,39035,6406
2007,39037,252
2007,39039,319
2007,39041,784
2007,39043,487
2007,39045,669
2007,39047,162
2007,39049,7752
2007,39051,199
2007,39053,216
2007,39055,442
2007,39057,969
2007,39059,316
2007,39061,7038
2007,39063,597
2007,39065,137
2007,39067,70
2007,39069,118
2007,39071,246
2007,39073,175
2007,39075,251
2007,39077,274
2007,39079,236
2007,39081,322
2007,39083,363
2007,39085,1162
2007,39087,315
2007,39089,936
2007,39091,253
2007,39093,1555
